"Date Time","WDIR (degT)","WSPD (m/s)","WVHT (m)","DPD (sec)","APD (sec)","PRES (hPa)"
01.01.2020 00:40,308.00,9.10,4.20,23.5,10.2,1028.5
01.01.2020 01:40,309.00,8.00,3.69,21.1,9.3,1028.2
01.01.2020 02:40,309.00,9.00,4.46,21.1,10.8,1028.8
01.01.2020 03:40,302.00,7.90,4.71,21.1,10.9,1028.8
01.01.2020 04:40,295.00,7.20,5.44,21.1,12.2,1028.8
01.01.2020 05:40,294.00,7.60,5.54,21.1,12.7,1029.1
01.01.2020 06:40,296.00,8.40,4.26,21.1,10.2,1029.2
01.01.2020 07:40,294.00,7.20,4.54,21.1,10.0,1028.9
01.01.2020 08:40,289.00,6.30,4.89,19.1,11.1,1027.7
01.01.2020 09:40,276.00,5.60,4.73,21.1,10.8,1027.5
01.01.2020 10:40,277.00,7.50,5.07,19.1,11.5,1027.4
01.01.2020 11:40,296.00,8.10,4.42,19.1,10.3,1027.6
01.01.2020 12:40,298.00,7.00,5.17,19.1,11.1,1027.4
01.01.2020 13:40,293.00,6.00,4.55,19.1,10.9,1027.0
01.01.2020 14:40,285.00,4.90,4.65,19.1,10.9,1026.7
01.01.2020 15:40,292.00,7.10,5.35,19.1,11.9,1027.3
01.01.2020 16:40,291.00,6.80,4.98,19.1,11.2,1027.7
01.01.2020 17:40,302.00,7.70,4.72,19.1,10.8,1028.5
01.01.2020 18:40,325.00,8.30,5.33,19.1,11.8,1029.9
01.01.2020 19:40,295.00,4.80,4.51,17.4,10.6,1029.1
01.01.2020 20:40,298.00,5.70,5.01,19.1,11.2,1028.9
01.01.2020 21:40,311.00,6.80,5.32,19.1,11.8,1028.3
01.01.2020 22:40,316.00,5.70,5.20,17.4,11.9,1028.0
01.01.2020 23:40,312.00,4.80,4.66,19.1,11.4,1027.8
02.01.2020 00:40,314.00,4.40,4.61,19.1,11.1,1027.6
02.01.2020 01:40,324.00,5.20,4.67,17.4,11.2,1027.6
02.01.2020 02:40,333.00,4.30,4.93,17.4,11.8,1027.9
02.01.2020 03:40,306.00,3.20,4.64,19.1,11.2,1027.9
02.01.2020 04:40,305.00,4.10,4.63,16.0,11.6,1028.4
02.01.2020 05:40,299.00,4.30,4.74,17.4,11.4,1028.7
02.01.2020 06:40,305.00,4.90,4.00,17.4,10.6,1028.9
02.01.2020 07:40,306.00,4.60,4.17,17.4,11.2,1029.1
02.01.2020 08:40,304.00,4.90,4.56,17.4,11.1,1028.4
02.01.2020 09:40,303.00,4.70,4.24,14.8,11.1,1027.8
02.01.2020 10:40,290.00,3.80,4.51,17.4,11.4,1027.6
02.01.2020 11:40,309.00,3.20,4.26,13.8,11.4,1027.3
02.01.2020 12:40,261.00,3.70,4.19,14.8,11.2,1026.9
02.01.2020 13:40,309.00,3.10,3.90,16.0,10.8,1026.6
02.01.2020 14:40,272.00,2.60,3.63,16.0,10.5,1026.7
02.01.2020 15:40,255.00,3.50,3.99,17.4,10.9,1026.8
02.01.2020 16:40,251.00,4.50,3.71,16.0,10.5,1027.0
02.01.2020 17:40,240.00,4.70,3.98,17.4,11.1,1027.3
02.01.2020 18:40,251.00,3.60,3.58,16.0,10.5,1027.4
02.01.2020 19:40,215.00,4.30,3.58,16.0,10.2,1026.7
02.01.2020 20:40,205.00,4.70,3.35,16.0,10.7,1025.3
02.01.2020 21:40,201.00,5.20,3.46,16.0,10.8,1024.2
02.01.2020 22:40,203.00,6.60,3.26,16.0,10.3,1023.5
02.01.2020 23:40,208.00,5.50,3.00,14.8,10.1,1023.8
03.01.2020 00:40,197.00,4.60,3.29,16.0,10.9,1023.9
03.01.2020 01:40,191.00,5.30,3.18,16.0,10.6,1023.4
03.01.2020 02:40,188.00,6.60,3.03,14.8,10.2,1023.7
03.01.2020 03:40,195.00,6.80,3.02,12.9,9.9,1023.8
03.01.2020 04:40,195.00,7.00,3.25,16.0,9.9,1023.9
03.01.2020 05:40,189.00,7.30,3.06,14.8,9.4,1023.8
03.01.2020 06:40,174.00,7.30,3.19,12.9,9.1,1023.3
03.01.2020 07:40,183.00,7.30,3.20,14.8,8.9,1023.1
03.01.2020 08:40,191.00,7.60,3.17,12.9,8.4,1022.5
03.01.2020 09:40,195.00,8.00,3.19,13.8,8.6,1022.0
03.01.2020 10:40,196.00,7.80,2.90,12.9,8.1,1021.7
03.01.2020 11:40,191.00,8.40,2.94,13.8,7.9,1020.6
03.01.2020 12:40,192.00,8.80,2.75,13.8,7.7,1019.7
03.01.2020 13:40,189.00,8.40,2.95,13.8,7.3,1019.1
03.01.2020 14:40,187.00,8.20,2.82,14.8,7.4,1019.0
03.01.2020 15:40,180.00,9.00,2.88,14.8,7.0,1018.2
03.01.2020 16:40,184.00,9.80,2.91,12.1,7.0,1018.5
03.01.2020 17:40,188.00,9.40,2.97,14.8,7.2,1019.2
03.01.2020 18:40,187.00,9.80,3.04,10.8,7.2,1019.1
03.01.2020 19:40,187.00,9.40,3.40,10.0,7.5,1018.4
03.01.2020 20:40,190.00,9.10,3.46,13.8,7.6,1017.2
03.01.2020 21:40,194.00,10.10,3.52,13.8,7.5,1016.1
03.01.2020 22:40,199.00,9.50,3.92,13.8,8.0,1016.1
03.01.2020 23:40,276.00,10.90,3.89,12.9,7.9,1017.3
04.01.2020 00:40,283.00,10.60,3.65,11.4,7.7,1018.0
04.01.2020 01:40,283.00,8.50,4.10,12.9,8.1,1019.4
04.01.2020 02:40,317.00,13.80,4.23,10.8,7.8,1021.2
04.01.2020 03:40,314.00,11.90,4.21,11.4,7.9,1023.1
04.01.2020 04:40,324.00,11.00,4.07,10.8,7.9,1024.9
04.01.2020 05:40,317.00,11.80,4.44,12.9,8.2,1026.4
04.01.2020 06:40,310.00,11.50,4.03,11.4,7.6,1028.0
04.01.2020 07:40,318.00,10.00,4.08,12.9,7.5,1029.1
04.01.2020 08:40,321.00,9.80,4.18,11.4,8.1,1029.9
04.01.2020 09:40,326.00,9.60,3.73,12.9,7.7,1030.6
04.01.2020 10:40,324.00,9.20,3.89,13.8,7.9,1031.5
04.01.2020 11:40,333.00,9.20,3.92,12.1,8.0,1032.2
04.01.2020 12:40,331.00,7.30,3.70,11.4,8.0,1032.7
04.01.2020 13:40,329.00,7.50,4.26,12.1,8.5,1033.0
04.01.2020 14:40,344.00,6.90,4.15,11.4,8.6,1033.5
04.01.2020 15:40,350.00,4.60,4.00,12.9,8.8,1034.0
04.01.2020 16:40,329.00,2.00,4.67,10.8,9.2,1035.3
04.01.2020 17:40,307.00,1.70,4.47,12.9,9.3,1036.6
04.01.2020 18:40,272.00,1.50,4.37,12.1,8.9,1037.2
04.01.2020 19:40,253.00,3.40,5.30,12.9,9.7,1037.0
04.01.2020 20:40,260.00,4.60,4.37,12.1,8.9,1036.4
04.01.2020 21:40,253.00,4.60,4.67,12.1,9.2,1035.5
04.01.2020 22:40,243.00,5.60,4.75,12.1,9.4,1035.2
04.01.2020 23:40,249.00,6.20,4.06,12.1,9.1,1035.4
05.01.2020 00:40,254.00,7.20,3.98,11.4,8.8,1035.7
05.01.2020 01:40,257.00,8.00,4.04,12.1,9.1,1035.8
05.01.2020 02:40,260.00,8.40,3.68,12.1,8.7,1036.0
05.01.2020 03:40,265.00,8.80,3.92,12.9,9.0,1036.1
05.01.2020 04:40,260.00,7.60,3.16,12.1,7.9,1036.1
05.01.2020 05:40,256.00,8.30,3.33,12.1,8.1,1036.2
05.01.2020 06:40,267.00,8.70,3.16,12.1,7.9,1036.7
05.01.2020 07:40,270.00,8.40,3.12,12.1,7.7,1036.5
05.01.2020 08:40,270.00,8.40,3.03,12.1,7.6,1036.2
05.01.2020 09:40,268.00,8.40,3.40,12.1,8.1,1035.9
05.01.2020 10:40,272.00,8.90,3.25,11.4,7.7,1035.9
05.01.2020 11:40,278.00,9.70,3.12,11.4,7.4,1036.2
05.01.2020 12:40,281.00,8.70,3.22,11.4,7.5,1036.0
05.01.2020 13:40,280.00,7.40,3.17,10.8,7.3,1036.6
05.01.2020 14:40,283.00,7.70,3.55,11.4,7.8,1037.4
05.01.2020 15:40,282.00,7.00,3.61,10.8,7.8,1037.9
05.01.2020 16:40,295.00,4.90,3.28,11.4,7.7,1038.7
05.01.2020 17:40,311.00,5.10,3.30,10.8,7.9,1039.3
05.01.2020 18:40,298.00,4.10,3.39,11.4,8.1,1040.0
05.01.2020 19:40,303.00,3.70,3.50,11.4,8.3,1039.8
05.01.2020 20:40,297.00,3.10,3.45,11.4,8.3,1039.3
05.01.2020 21:40,308.00,4.10,3.30,11.4,8.4,1038.9
05.01.2020 22:40,314.00,3.40,3.39,11.4,8.4,1038.9
05.01.2020 23:40,296.00,2.30,3.37,12.1,8.8,1038.9
06.01.2020 00:40,280.00,1.90,3.28,12.9,8.9,1039.3
06.01.2020 01:40,284.00,2.00,3.79,12.9,9.5,1039.1
06.01.2020 02:40,250.00,2.10,3.32,12.1,9.2,1039.3
06.01.2020 03:40,268.00,2.70,3.59,12.9,9.6,1039.7
06.01.2020 04:40,261.00,2.90,3.08,12.9,8.9,1039.4
06.01.2020 05:40,275.00,3.00,3.49,12.9,9.3,1039.5
06.01.2020 06:40,277.00,2.80,3.52,12.1,9.4,1039.4
06.01.2020 07:40,273.00,3.30,3.43,12.9,9.0,1039.1
06.01.2020 08:40,262.00,3.50,3.31,12.1,9.1,1038.6
06.01.2020 09:40,263.00,4.30,3.39,12.1,9.0,1038.3
06.01.2020 10:40,262.00,4.70,3.34,12.1,8.7,1038.2
06.01.2020 11:40,268.00,4.50,3.40,12.1,8.8,1037.8
06.01.2020 12:40,275.00,4.60,3.38,12.1,8.9,1037.5
06.01.2020 13:40,273.00,4.90,3.24,11.4,8.6,1037.0
06.01.2020 14:40,268.00,4.10,3.30,12.1,8.9,1036.6
06.01.2020 15:40,270.00,4.30,3.24,12.1,9.1,1036.7
06.01.2020 16:40,273.00,4.00,2.85,12.9,8.8,1036.9
06.01.2020 17:40,262.00,3.90,3.34,12.1,9.3,1037.0
06.01.2020 18:40,269.00,4.30,3.13,13.8,9.7,1037.2
06.01.2020 19:40,261.00,4.80,2.95,12.9,9.2,1036.9
06.01.2020 20:40,256.00,4.90,2.87,12.1,9.2,1036.0
06.01.2020 21:40,259.00,5.50,3.21,12.1,9.7,1035.0
06.01.2020 22:40,268.00,3.90,3.11,12.1,9.4,1034.1
06.01.2020 23:40,282.00,6.30,2.73,12.1,8.7,1033.9
07.01.2020 00:40,302.00,4.70,2.78,12.1,8.8,1033.6
07.01.2020 01:40,262.00,4.20,2.61,12.1,8.5,1032.9
07.01.2020 02:40,272.00,6.40,2.81,12.1,8.6,1032.6
07.01.2020 03:40,266.00,4.00,2.74,12.1,8.3,1032.2
07.01.2020 04:40,246.00,4.10,2.70,11.4,8.5,1032.1
07.01.2020 05:40,240.00,4.70,2.50,10.8,8.0,1031.8
07.01.2020 06:40,260.00,4.90,2.90,11.4,8.4,1031.4
07.01.2020 07:40,248.00,5.40,2.66,11.4,8.3,1031.0
07.01.2020 08:40,250.00,7.50,2.34,12.1,7.4,1030.2
07.01.2020 09:40,241.00,6.70,2.74,11.4,7.7,1029.3
07.01.2020 10:40,243.00,7.20,2.55,12.1,7.7,1028.4
07.01.2020 11:40,245.00,9.40,2.82,11.4,7.6,1027.5
07.01.2020 12:40,235.00,8.70,2.65,10.8,7.3,1026.5
07.01.2020 13:40,227.00,9.20,2.69,11.4,7.3,1025.3
07.01.2020 14:40,224.00,9.60,2.98,11.4,7.4,1024.5
07.01.2020 15:40,222.00,10.00,3.01,12.1,7.3,1023.5
07.01.2020 16:40,230.00,11.20,2.98,12.1,7.0,1023.5
07.01.2020 17:40,267.00,9.60,2.96,12.1,7.2,1024.4
07.01.2020 18:40,269.00,9.50,3.15,12.1,7.2,1024.7
07.01.2020 19:40,266.00,9.40,3.11,12.1,7.3,1024.0
07.01.2020 20:40,279.00,9.10,3.16,10.8,7.3,1023.2
07.01.2020 21:40,287.00,9.90,3.36,11.4,7.5,1022.7
07.01.2020 22:40,284.00,8.70,3.69,10.0,7.6,1022.7
07.01.2020 23:40,290.00,8.50,3.51,11.4,7.7,1022.9
08.01.2020 00:40,292.00,9.50,3.99,10.0,7.9,1023.2
08.01.2020 01:40,306.00,7.90,3.64,11.4,7.8,1023.4
08.01.2020 02:40,308.00,8.10,3.89,11.4,7.8,1023.8
08.01.2020 03:40,315.00,8.10,3.62,12.1,8.0,1024.2
08.01.2020 04:40,309.00,8.30,3.77,12.1,8.1,1024.9
08.01.2020 05:40,303.00,7.90,3.87,10.8,8.1,1025.2
08.01.2020 06:40,314.00,6.50,3.70,12.1,8.2,1025.4
08.01.2020 07:40,317.00,7.70,3.72,12.1,8.0,1025.4
08.01.2020 08:40,313.00,9.20,3.64,11.4,8.0,1025.1
08.01.2020 09:40,305.00,6.90,3.54,11.4,8.0,1025.0
08.01.2020 10:40,306.00,6.30,3.69,10.8,8.1,1025.4
08.01.2020 11:40,295.00,7.30,3.46,10.8,8.0,1024.9
08.01.2020 12:40,279.00,6.30,3.49,12.1,8.2,1025.0
08.01.2020 13:40,297.00,8.50,3.64,11.4,8.0,1026.2
08.01.2020 14:40,317.00,7.70,3.44,12.1,8.0,1025.5
08.01.2020 15:40,336.00,6.40,3.50,12.1,8.0,1025.1
08.01.2020 16:40,302.00,7.70,3.43,12.1,8.0,1024.6
08.01.2020 17:40,298.00,7.90,3.49,10.8,7.9,1025.2
08.01.2020 18:40,296.00,7.30,2.96,11.4,7.5,1025.7
08.01.2020 19:40,286.00,7.40,3.09,11.4,7.6,1025.4
08.01.2020 20:40,286.00,8.50,3.15,12.1,7.8,1024.8
08.01.2020 21:40,279.00,9.30,3.30,11.4,7.6,1023.7
08.01.2020 22:40,284.00,8.90,3.11,11.4,7.3,1023.3
08.01.2020 23:40,272.00,9.90,3.22,11.4,7.5,1023.1
09.01.2020 00:40,273.00,9.70,3.17,12.1,7.5,1022.7
09.01.2020 01:40,271.00,9.60,2.89,11.4,7.0,1022.7
09.01.2020 02:40,274.00,9.20,2.95,11.4,7.2,1022.5
09.01.2020 03:40,280.00,9.00,3.04,10.8,7.3,1022.2
09.01.2020 04:40,284.00,8.80,2.90,10.8,7.1,1022.2
09.01.2020 05:40,290.00,8.20,2.90,10.8,7.1,1022.3
09.01.2020 06:40,308.00,8.40,3.07,12.9,7.4,1022.9
09.01.2020 07:40,322.00,10.70,3.12,10.8,7.2,1023.4
09.01.2020 08:40,331.00,10.20,2.89,11.4,7.2,1024.0
09.01.2020 09:40,328.00,8.50,3.23,11.4,7.2,1024.4
09.01.2020 10:40,332.00,10.00,3.19,12.1,7.0,1024.7
09.01.2020 11:40,341.00,9.50,3.26,12.1,7.0,1025.1
09.01.2020 12:40,343.00,9.00,3.23,10.0,7.0,1025.7
09.01.2020 13:40,349.00,9.00,2.96,11.4,6.9,1026.5
09.01.2020 14:40,356.00,9.40,2.92,11.4,6.7,1027.1
09.01.2020 15:40,354.00,9.10,3.22,9.1,7.0,1027.7
09.01.2020 16:40,5.00,7.10,3.14,11.4,7.1,1028.6
09.01.2020 17:40,1.00,8.40,2.88,9.1,6.9,1029.9
09.01.2020 18:40,3.00,8.30,3.26,10.0,7.3,1029.9
09.01.2020 19:40,5.00,8.20,2.98,9.1,7.1,1029.8
09.01.2020 20:40,7.00,6.40,3.07,10.0,7.4,1029.1
09.01.2020 21:40,358.00,5.90,2.88,10.8,7.4,1029.0
09.01.2020 22:40,359.00,5.60,2.97,10.0,7.4,1029.5
09.01.2020 23:40,9.00,4.80,3.03,9.1,7.5,1029.6
10.01.2020 00:40,5.00,5.50,3.04,9.1,7.7,1030.2
10.01.2020 01:40,352.00,3.90,2.96,9.1,7.8,1030.2
10.01.2020 02:40,350.00,4.10,2.57,11.4,7.4,1030.9
10.01.2020 03:40,329.00,4.10,2.97,9.1,7.6,1030.9
10.01.2020 04:40,329.00,3.80,2.67,10.0,7.4,1031.1
10.01.2020 05:40,330.00,3.80,2.88,9.1,7.4,1030.9
10.01.2020 06:40,317.00,3.20,2.83,9.1,7.7,1030.8
10.01.2020 07:40,309.00,3.40,2.66,8.3,7.5,1030.4
10.01.2020 08:40,314.00,3.40,2.60,9.1,7.5,1029.8
10.01.2020 09:40,279.00,4.80,2.45,8.3,7.3,1030.4
10.01.2020 10:40,282.00,5.40,2.28,9.1,7.1,1030.6
10.01.2020 11:40,263.00,6.00,2.31,10.0,7.1,1030.4
10.01.2020 12:40,281.00,5.00,2.32,11.4,7.3,1029.8
10.01.2020 13:40,277.00,5.20,2.02,9.1,6.8,1030.0
10.01.2020 14:40,273.00,5.70,2.10,8.3,6.9,1029.8
10.01.2020 15:40,252.00,5.90,2.04,10.0,6.8,1029.4
10.01.2020 16:40,254.00,7.90,2.15,9.1,6.8,1029.7
10.01.2020 17:40,256.00,7.00,2.07,9.1,6.6,1029.8
10.01.2020 18:40,266.00,7.90,2.06,9.1,6.3,1030.3
10.01.2020 19:40,257.00,7.40,1.93,9.1,6.1,1029.6
10.01.2020 20:40,262.00,8.30,2.04,9.1,6.2,1028.5
10.01.2020 21:40,268.00,8.20,2.06,9.1,6.1,1028.2
10.01.2020 22:40,268.00,7.50,2.11,9.1,6.2,1027.7
10.01.2020 23:40,280.00,7.70,1.85,7.7,5.9,1027.8
11.01.2020 00:40,284.00,7.30,2.03,9.1,6.1,1028.0
11.01.2020 01:40,277.00,7.60,2.08,10.8,6.1,1028.0
11.01.2020 02:40,303.00,6.30,1.96,7.7,6.0,1028.3
11.01.2020 03:40,310.00,7.90,2.04,7.7,5.9,1028.7
11.01.2020 04:40,321.00,9.00,2.07,10.0,5.9,1029.3
11.01.2020 05:40,322.00,8.40,2.12,8.3,6.2,1029.8
11.01.2020 06:40,317.00,7.80,2.21,7.7,6.2,1030.0
11.01.2020 07:40,327.00,7.40,2.14,7.7,6.1,1030.2
11.01.2020 08:40,326.00,7.30,2.50,9.1,6.5,1030.1
11.01.2020 09:40,332.00,7.80,2.23,8.3,6.2,1030.2
11.01.2020 10:40,328.00,7.60,2.63,9.1,6.8,1030.9
11.01.2020 11:40,330.00,8.60,2.86,10.0,7.1,1031.2
11.01.2020 12:40,342.00,6.90,3.13,11.4,7.8,1031.2
11.01.2020 13:40,341.00,9.00,3.69,11.4,8.5,1031.4
11.01.2020 14:40,348.00,7.20,4.65,12.1,9.2,1031.8
11.01.2020 15:40,345.00,8.20,5.58,13.8,10.0,1032.2
11.01.2020 16:40,337.00,8.80,5.50,13.8,10.3,1032.7
11.01.2020 17:40,357.00,8.50,5.91,16.0,10.5,1033.7
11.01.2020 18:40,352.00,7.50,5.51,13.8,10.4,1034.2
11.01.2020 19:40,358.00,8.30,5.56,14.8,10.4,1033.8
11.01.2020 20:40,350.00,7.20,5.07,16.0,9.8,1032.8
11.01.2020 21:40,346.00,7.50,5.52,17.4,10.6,1032.5
11.01.2020 22:40,341.00,5.30,5.50,17.4,10.5,1032.2
11.01.2020 23:40,340.00,6.70,5.49,14.8,10.4,1032.2
12.01.2020 00:40,342.00,6.50,5.42,16.0,10.8,1032.1
12.01.2020 01:40,341.00,6.30,4.55,13.8,9.8,1032.0
12.01.2020 02:40,340.00,5.70,5.21,16.0,10.6,1031.9
12.01.2020 03:40,333.00,5.80,5.16,14.8,10.8,1031.8
12.01.2020 04:40,335.00,5.90,4.99,14.8,10.5,1031.9
12.01.2020 05:40,328.00,5.70,4.72,13.8,10.1,1031.8
12.01.2020 06:40,319.00,6.00,4.76,13.8,10.4,1031.3
12.01.2020 07:40,310.00,6.20,4.22,13.8,9.4,1031.1
12.01.2020 08:40,318.00,7.90,4.83,13.8,10.0,1030.9
12.01.2020 09:40,299.00,7.80,4.88,12.9,9.7,1030.3
12.01.2020 10:40,299.00,8.00,4.71,13.8,9.6,1030.2
12.01.2020 11:40,306.00,8.30,4.18,12.9,8.9,1029.8
12.01.2020 12:40,303.00,10.00,4.15,13.8,9.1,1029.4
12.01.2020 13:40,299.00,9.00,4.14,12.1,8.7,1029.0
12.01.2020 14:40,298.00,9.50,4.02,14.8,8.5,1028.9
12.01.2020 15:40,299.00,9.40,4.00,14.8,8.5,1028.5
12.01.2020 16:40,297.00,9.60,3.89,13.8,8.0,1028.5
12.01.2020 17:40,299.00,9.30,4.26,13.8,8.5,1028.8
12.01.2020 18:40,295.00,9.00,3.74,12.9,8.0,1029.0
12.01.2020 19:40,299.00,8.90,3.78,13.8,7.8,1028.8
12.01.2020 20:40,311.00,9.40,3.88,12.9,8.1,1028.0
12.01.2020 21:40,304.00,8.00,4.00,12.9,8.1,1026.8
12.01.2020 22:40,312.00,8.50,3.76,12.9,8.0,1026.4
12.01.2020 23:40,317.00,9.50,3.73,12.1,8.0,1026.3
13.01.2020 00:40,319.00,10.10,4.26,12.1,8.4,1026.4
13.01.2020 01:40,320.00,9.60,3.95,12.1,8.3,1026.7
13.01.2020 02:40,321.00,8.30,4.47,12.1,8.5,1027.2
13.01.2020 03:40,321.00,8.70,4.34,12.1,8.3,1027.3
13.01.2020 04:40,329.00,6.70,4.34,12.1,8.5,1027.5
13.01.2020 05:40,341.00,7.60,4.73,11.4,9.0,1027.6
13.01.2020 06:40,337.00,7.00,3.81,11.4,8.1,1027.7
13.01.2020 07:40,325.00,6.70,4.52,11.4,8.8,1027.8
13.01.2020 08:40,335.00,6.60,4.31,11.4,8.7,1027.3
13.01.2020 09:40,315.00,6.80,4.27,11.4,8.8,1026.9
13.01.2020 10:40,304.00,5.70,3.77,12.1,8.4,1026.8
13.01.2020 11:40,301.00,5.50,4.19,11.4,8.7,1026.4
13.01.2020 12:40,298.00,6.40,3.79,11.4,8.5,1025.8
13.01.2020 13:40,293.00,6.40,3.75,12.9,8.5,1025.7
13.01.2020 14:40,291.00,6.70,3.27,10.8,8.3,1026.0
13.01.2020 15:40,292.00,7.50,3.66,11.4,8.7,1026.2
13.01.2020 16:40,289.00,7.50,3.74,12.1,8.7,1026.1
13.01.2020 17:40,290.00,7.80,3.61,11.4,8.7,1026.5
13.01.2020 18:40,286.00,7.50,3.58,11.4,8.6,1026.9
13.01.2020 19:40,285.00,8.60,3.59,11.4,8.4,1026.7
13.01.2020 20:40,290.00,8.20,3.26,12.1,7.9,1025.9
13.01.2020 21:40,288.00,7.50,3.78,11.4,8.4,1025.1
13.01.2020 22:40,300.00,7.80,3.36,10.8,7.9,1024.8
13.01.2020 23:40,297.00,7.50,3.58,12.9,8.2,1024.6
14.01.2020 00:40,304.00,7.80,3.47,12.1,8.1,1024.6
14.01.2020 01:40,318.00,9.80,3.69,11.4,8.1,1025.0
14.01.2020 02:40,323.00,10.30,3.69,11.4,7.8,1025.3
14.01.2020 03:40,328.00,11.70,3.97,11.4,7.8,1025.9
14.01.2020 04:40,330.00,10.10,3.64,11.4,7.6,1026.1
14.01.2020 05:40,325.00,9.50,3.71,11.4,7.8,1026.4
14.01.2020 06:40,330.00,10.00,3.74,11.4,7.6,1026.7
14.01.2020 07:40,326.00,10.30,3.78,10.0,7.7,1027.3
14.01.2020 08:40,324.00,8.40,3.82,9.1,7.7,1027.2
14.01.2020 09:40,322.00,8.40,4.12,12.1,8.4,1027.1
14.01.2020 10:40,319.00,9.40,4.67,10.8,8.6,1027.5
14.01.2020 11:40,319.00,8.20,4.30,12.1,8.4,1027.6
14.01.2020 12:40,321.00,10.60,4.38,11.4,8.8,1027.2
14.01.2020 13:40,310.00,8.60,4.81,11.4,9.0,1027.4
14.01.2020 14:40,316.00,8.00,4.34,12.1,8.8,1027.7
14.01.2020 15:40,317.00,8.50,4.62,11.4,8.7,1027.9
14.01.2020 16:40,326.00,7.40,4.46,12.1,8.9,1028.2
14.01.2020 17:40,321.00,8.10,4.39,12.1,8.8,1028.5
14.01.2020 18:40,321.00,7.60,4.36,12.1,8.6,1028.7
14.01.2020 19:40,315.00,6.50,4.11,12.1,8.7,1028.4
14.01.2020 20:40,325.00,6.50,4.90,12.1,9.2,1027.6
14.01.2020 21:40,320.00,6.90,4.63,12.1,8.8,1026.7
14.01.2020 22:40,326.00,6.30,3.97,12.1,8.6,1026.2
14.01.2020 23:40,320.00,5.30,4.39,12.1,9.1,1025.9
15.01.2020 00:40,306.00,4.60,4.15,12.1,9.1,1025.8
15.01.2020 01:40,304.00,3.50,3.93,11.4,8.7,1025.3
15.01.2020 02:40,278.00,3.20,4.33,12.9,9.2,1025.1
15.01.2020 03:40,253.00,3.70,4.12,12.9,9.3,1024.6
15.01.2020 04:40,241.00,4.80,3.92,12.1,9.4,1023.9
15.01.2020 05:40,236.00,6.00,4.36,12.9,9.7,1023.7
15.01.2020 06:40,220.00,6.00,4.24,12.9,10.0,1023.1
15.01.2020 07:40,224.00,7.30,3.78,12.1,9.5,1022.2
15.01.2020 08:40,246.00,9.10,4.16,12.9,9.2,1021.2
15.01.2020 09:40,235.00,9.20,3.85,13.8,9.0,1019.8
15.01.2020 10:40,219.00,9.90,4.09,12.9,8.9,1018.6
15.01.2020 11:40,224.00,11.10,4.11,13.8,8.7,1017.2
15.01.2020 12:40,220.00,12.50,3.85,12.9,8.0,1015.4
15.01.2020 13:40,221.00,12.90,3.59,12.1,7.2,1014.2
15.01.2020 14:40,231.00,12.10,3.59,12.9,7.2,1013.2
15.01.2020 15:40,233.00,12.50,3.55,12.9,7.1,1012.4
15.01.2020 16:40,230.00,12.50,3.80,12.1,7.2,1011.8
15.01.2020 17:40,220.00,12.60,3.75,7.1,7.2,1010.9
15.01.2020 18:40,221.00,13.10,3.72,8.3,6.9,1010.4
15.01.2020 19:40,214.00,12.50,3.75,9.1,7.0,1009.2
15.01.2020 20:40,216.00,12.00,3.87,12.1,7.3,1007.2
15.01.2020 21:40,300.00,9.70,4.37,10.0,7.8,1007.0
15.01.2020 22:40,280.00,8.90,3.88,10.0,7.5,1006.4
15.01.2020 23:40,259.00,8.10,4.17,9.1,7.6,1006.5
16.01.2020 00:40,252.00,6.20,4.31,10.8,8.0,1005.7
16.01.2020 01:40,291.00,7.80,4.35,11.4,8.2,1005.3
16.01.2020 02:40,277.00,7.00,3.68,12.1,7.9,1005.7
16.01.2020 03:40,253.00,6.70,4.66,12.1,8.7,1005.6
16.01.2020 04:40,278.00,9.60,4.62,12.1,8.8,1005.7
16.01.2020 05:40,276.00,8.40,4.34,12.1,8.4,1006.2
16.01.2020 06:40,266.00,9.50,4.20,12.1,8.3,1006.0
16.01.2020 07:40,266.00,8.70,4.65,12.1,8.9,1006.2
16.01.2020 08:40,277.00,8.40,3.61,12.1,7.8,1005.9
16.01.2020 09:40,279.00,10.00,3.80,10.8,7.7,1005.8
16.01.2020 10:40,255.00,8.70,4.13,12.1,7.9,1006.1
16.01.2020 11:40,280.00,10.30,4.23,12.1,8.3,1006.4
16.01.2020 12:40,270.00,8.60,4.85,11.4,8.6,1006.4
16.01.2020 13:40,287.00,7.80,4.35,12.1,8.5,1006.9
16.01.2020 14:40,285.00,8.70,4.11,12.1,8.2,1007.6
16.01.2020 15:40,293.00,9.60,3.72,11.4,7.7,1008.3
16.01.2020 16:40,296.00,10.30,3.98,11.4,8.0,1009.3
16.01.2020 17:40,295.00,10.20,4.13,11.4,8.1,1010.7
16.01.2020 18:40,311.00,8.90,4.14,12.1,8.1,1011.9
16.01.2020 19:40,298.00,8.10,4.28,12.1,8.0,1012.5
16.01.2020 20:40,297.00,8.80,4.15,11.4,8.3,1012.4
16.01.2020 21:40,293.00,7.30,3.45,12.9,7.8,1012.5
16.01.2020 22:40,310.00,7.90,3.51,10.8,7.7,1013.1
16.01.2020 23:40,296.00,5.80,3.77,12.1,8.3,1013.7
17.01.2020 00:40,291.00,6.40,3.55,10.0,8.1,1014.5
17.01.2020 01:40,293.00,6.00,3.53,11.4,8.5,1015.0
17.01.2020 02:40,264.00,4.60,3.10,11.4,8.1,1015.9
